state,date,fossil,geo,hydro,nuclear,secondary,solar,wind,population
HI,2001-06-01,798812.555,18505.0,7374.463,,49084.536,,101.27,1233851
HI,2001-07-01,865421.84,17576.0,7623.983,,45221.953,,185.361,1235091
HI,2001-08-01,888669.779,15514.0,9767.867,,43629.69,,235.381,1236331
HI,2001-09-01,839044.048,8486.0,8257.752,,42713.356,,230.281,1237570
HI,2001-10-01,842104.9,19252.0,9879.891,,42606.627,,250.344,1238810
HI,2001-11-01,804255.078,17946.0,9380.630000000001,,31708.314,,147.29,1240050
HI,2001-12-01,809090.345,17504.0,7325.288,,34527.188,,187.254,1241289
IA,2001-01-01,3259402.181,,66639.979,382045.0,9558.047999999999,,43633.284,2939327
IA,2001-02-01,2770004.366,,77022.799,355555.0,8000.614,,33105.06200000001,2940327
IA,2001-03-01,3050927.638,,86813.568,392652.0,7999.965,,37510.342,2941327
IA,2001-04-01,2656895.99,,56257.931,140468.0,8205.317,,53935.803,2942328
IA,2001-05-01,2755698.794,,36522.782,25150.0,9882.157,,48081.176,2943328
IA,2001-06-01,2848896.045,,65669.8,334683.0,9799.304,,35404.847,2944328
IA,2001-07-01,3463716.266,,84010.328,371033.0,8166.176,,22590.186,2945328
IA,2001-08-01,3436863.581,,80752.079,346686.0,9903.096,,24805.149,2946329
IA,2001-09-01,2712062.202,,73813.98,387653.0,10745.599,,26290.9,2947329
IA,2001-10-01,2840809.623,,74714.462,299934.0,11360.442,,52246.164,2948329
IA,2001-11-01,2671043.186,,72718.807,385585.0,8627.998,,51419.112,2949329
IA,2001-12-01,2892459.785,,70216.483,431278.0,9949.283,,58841.976,2950330
ID,2001-01-01,140868.027,,524817.264,,53283.622,,,1323596
ID,2001-02-01,124187.135,,428682.316,,48397.848,,,1325876
ID,2001-03-01,107933.578,,507615.628,,56499.227,,,1328156
ID,2001-04-01,136501.418,,535338.205,,55348.564,,,1330436
ID,2001-05-01,126935.122,,879594.126,,51808.25,,,1332717
ID,2001-06-01,116014.741,,770356.158,,50552.114,,,1334997
ID,2001-07-01,221271.412,,929767.75,,61717.03,,,1337277
ID,2001-08-01,302692.86,,849066.189,,64964.372,,,1339557
ID,2001-09-01,298243.633,,464549.931,,58982.498,,,1341838
ID,2001-10-01,308236.845,,424394.575,,46659.988,,,1344118
ID,2001-11-01,266078.472,,428488.216,,47116.935,,,1346398
ID,2001-12-01,238839.447,,463512.638,,47189.742,,,1348678
IL,2001-01-01,7722424.927,,12599.794,8237539.0,66800.855,,,12463854
IL,2001-02-01,6634253.229,,11020.137,7216833.0,51556.066,,,12467282
IL,2001-03-01,6655114.946,,12526.583,8157689.0,56889.213,,,12470710
IL,2001-04-01,6135212.556,,14166.652,7117233.0,53561.839,,,12474138
IL,2001-05-01,6608023.393,,11625.054,7924871.0,60190.491,,,12477566
IL,2001-06-01,7435186.694,,11553.827,7900494.0,63489.074,,,12480993
IL,2001-07-01,8996763.544,,12529.59,7952843.0,67977.076,,,12484421
IL,2001-08-01,9313989.066,,11888.633,7601200.0,67574.625,,,12487849
IL,2001-09-01,6999882.747,,10574.818,7210992.0,59945.79300000001,,,12491277
IL,2001-10-01,6213487.57,,10976.738,7557378.0,59699.423,,,12494705
IL,2001-11-01,6300694.172,,11875.342,7535722.0,59111.67000000001,,,12498132
IL,2001-12-01,7003666.583,,12691.831,7945683.0,61270.337,,,12501560
IN,2001-01-01,10937146.871,,51662.0,,9860.76,,,6124177
IN,2001-02-01,9654815.818,,37450.0,,9791.2,,,6127538
IN,2001-03-01,9935301.615,,50534.0,,10174.494,,,6130899
IN,2001-04-01,8622932.237,,42167.0,,9721.623,,,6134260
IN,2001-05-01,9473746.523,,45822.0,,8437.422,,,6137621
IN,2001-06-01,10556039.69,,57682.0,,10993.937,,,6140982
IN,2001-07-01,11562451.525,,54883.0,,13011.741,,,6144343
IN,2001-08-01,11869745.982,,47082.0,,14902.556,,,6147704
IN,2001-09-01,10073381.805,,41574.0,,12207.232,,,6151065
IN,2001-10-01,10040765.029,,47829.0,,9552.378,,,6154426
IN,2001-11-01,9539573.236,,43222.0,,12018.492,,,6157787
IN,2001-12-01,10043410.517,,50785.0,,9844.584,,,6161148
KS,2001-01-01,3219933.954,,0.0,888118.0,,,0.0,2706260
KS,2001-02-01,2470880.74,,0.0,803086.0,,,0.0,2707633
KS,2001-03-01,2505661.615,,0.0,833873.0,,,0.0,2709005
KS,2001-04-01,2390748.904,,0.0,855348.0,,,0.0,2710377
KS,2001-05-01,2879733.57,,0.0,878063.0,,,0.0,2711750
KS,2001-06-01,3043401.238,,1084.862,853966.0,,,0.0,2713123
KS,2001-07-01,3579287.797,,761.0110000000001,873972.0,,,0.0,2714495
KS,2001-08-01,3531090.465,,794.668,874542.0,,,0.0,2715868
KS,2001-09-01,2785533.401,,1260.249,853335.0,,,0.0,2717240
KS,2001-10-01,2621234.039,,2592.673,887293.0,,,0.0,2718612
KS,2001-11-01,2390123.952,,2328.657,857462.0,,,0.0,2719985
KS,2001-12-01,2918848.321,,16738.88,887593.0,,,39832.0,2721358
KY,2001-01-01,7923778.893,,193594.0,,863.005,,,4074008
KY,2001-02-01,7367582.74,,165380.0,,790.784,,,4076488
KY,2001-03-01,7957246.047,,243527.0,,808.469,,,4078968
KY,2001-04-01,6922192.957,,202527.0,,726.16,,,4081448
KY,2001-05-01,7339162.52,,142603.0,,769.81,,,4083928
KY,2001-06-01,7915354.477,,549853.0,,817.541,,,4086408
KY,2001-07-01,8541620.193,,611025.0,,884.15,,,4088888
KY,2001-08-01,8551373.893,,688597.0,,864.082,,,4091368
KY,2001-09-01,7632148.707,,242969.0,,780.72,,,4093848
KY,2001-10-01,7170700.422,,411209.0,,763.5310000000001,,,4096328
KY,2001-11-01,6474775.318,,178578.0,,721.2,,,4098808
KY,2001-12-01,7756627.833,,225646.0,,762.548,,,4101288
LA,2001-01-01,5740096.687,,6457.0,1539420.0,309032.24,,,4475952
LA,2001-02-01,4423805.737,,71522.0,1339650.0,270185.11,,,4476488
LA,2001-03-01,4372985.685000001,,92884.0,1566424.0,288612.22,,,4477025
LA,2001-04-01,5278001.867,,87213.0,1254261.0,307463.054,,,4477562
LA,2001-05-01,5710653.677,,83754.0,1553466.0,276313.232,,,4478098
LA,2001-06-01,5946305.596,,109438.0,1462821.0,268614.831,,,4478635
LA,2001-07-01,7098740.866,,68104.0,1536188.0,321858.682,,,4479172
LA,2001-08-01,7365407.458,,39657.0,1538130.0,310896.76,,,4479708
LA,2001-09-01,5872980.779,,23705.0,1316622.0,312523.864,,,4480245
LA,2001-10-01,5059758.191,,29768.0,1141805.0,340596.737,,,4480781
LA,2001-11-01,4349487.589,,31911.0,1516281.0,293072.773,,,4481318
LA,2001-12-01,5013163.883,,87804.0,1571067.0,295472.026,,,4481855
MA,2001-01-01,3080464.462,,105826.137,491137.0,176471.325,,,6370604
MA,2001-02-01,2503020.854,,72302.182,449547.0,162735.263,,,6372259
MA,2001-03-01,2910846.851,,88465.239,490652.0,157706.313,,,6373913
MA,2001-04-01,1879675.527,,94063.035,315658.0,171537.438,,,6375567
MA,2001-05-01,2112431.505,,50364.541,149753.0,175020.535,,,6377222
MA,2001-06-01,2657907.469,,73612.151,455358.0,179468.602,,,6378876
MA,2001-07-01,2707921.029,,47786.175,491576.0,175362.511,,,6380531
MA,2001-08-01,3247725.246,,34546.438,411345.0,177219.859,,,6382185
MA,2001-09-01,2382498.195,,28744.117,475870.0,163506.493,,,6383840
MA,2001-10-01,2606233.647,,28964.758,497586.0,183775.754,,,6385494
MA,2001-11-01,2487981.645,,34234.11,484169.0,183097.852,,,6387148
MA,2001-12-01,2683201.135,,43594.957,431382.0,177436.056,,,6388803
MD,2001-01-01,3193180.842,,71864.0,1293872.0,43627.094,,,5348168
MD,2001-02-01,2814294.589,,154196.0,1168618.0,44965.209,,,5352143
MD,2001-03-01,2365129.683,,218473.0,963457.0,50067.399,,,5356119
MD,2001-04-01,2347034.763,,290949.0,623493.0,48374.9,,,5360094
MD,2001-05-01,2563734.674,,77272.0,938578.0,51711.138,,,5364070
MD,2001-06-01,3065459.58,,97273.0,1202772.0,59561.556,,,5368045
MD,2001-07-01,3213119.607,,45822.0,1252634.0,57272.223,,,5372021
MD,2001-08-01,3780812.672,,21318.0,1245846.0,55763.791,,,5375997
MD,2001-09-01,2872304.048,,34220.0,1212574.0,56602.559,,,5379972
MD,2001-10-01,2831267.746,,34481.0,1223040.0,50620.736,,,5383948
MD,2001-11-01,2458163.583,,27385.0,1244048.0,50404.818,,,5387923
MD,2001-12-01,2097336.112,,110265.0,1287335.0,51745.837,,,5391899
ME,2001-01-01,1003458.857,,260998.652,,384024.876,,,1280712
ME,2001-02-01,909617.335,,230248.389,,322780.378,,,1281157
ME,2001-03-01,892175.973,,246454.927,,364817.614,,,1281602
ME,2001-04-01,712071.736,,279947.84,,305939.05,,,1282048
ME,2001-05-01,978931.258,,288948.493,,365002.366,,,1282493
ME,2001-06-01,969970.835,,276717.155,,356364.016,,,1282938
ME,2001-07-01,1125006.064,,206059.574,,360077.948,,,1283384
ME,2001-08-01,1419467.723,,182585.278,,403592.148,,,1283829
ME,2001-09-01,1200607.387,,175612.648,,376117.734,,,1284274
ME,2001-10-01,1121739.775,,162168.519,,283869.125,,,1284719
ME,2001-11-01,1210663.003,,160689.916,,333304.329,,,1285165
ME,2001-12-01,1139164.509,,174691.777,,380927.722,,,1285610
MI,2001-01-01,7127025.796,,122162.479,2824251.0,208021.068,,0.0,9932506
MI,2001-02-01,6085616.437,,121355.237,2565290.0,179048.189,,0.0,9932050
MI,2001-03-01,6509030.82,,132668.592,2932774.0,204704.164,,0.0,9931593
MI,2001-04-01,5788868.452,,150990.689,2199322.0,206373.662,,0.0,9931136
MI,2001-05-01,6350060.397,,157651.299,2679987.0,207839.47,,0.0,9930680
MI,2001-06-01,6953623.855,,143306.896,2623685.0,190063.086,,0.0,9930223
MI,2001-07-01,8047729.193,,113298.745,2221540.0,230754.475,,0.0,9929766
MI,2001-08-01,8531985.553,,147126.95,2137054.0,237310.535,,0.0,9929310
MI,2001-09-01,6780121.1,,92903.647,794618.0,201571.743,,0.0,9928853
MI,2001-10-01,6641613.925,,115738.058,1915632.0,234079.474,,0.0,9928396
MI,2001-11-01,6670798.745,,114418.396,1491194.0,219871.634,,0.0,9927939
MI,2001-12-01,6705710.163,,139095.01,2325435.0,187646.598,,280.0,9927483
MN,2001-01-01,3012812.783,,61161.691,1059132.0,113504.533,,86227.14,4961127
MN,2001-02-01,2884897.302,,54944.59600000001,730018.0,97207.056,,73164.111,4964331
MN,2001-03-01,2616227.257,,61307.543,808190.0,109336.643,,67451.91,4967534
MN,2001-04-01,2232664.383,,91367.052,1138176.0,113087.508,,91286.945,4970738
MN,2001-05-01,2176086.269,,107215.28,933368.0,123744.68,,73453.9,4973942
MN,2001-06-01,2739496.286,,98620.75200000001,1094881.0,118204.396,,64220.075,4977145
MN,2001-07-01,3112412.106,,53065.869,1187842.0,106670.193,,56035.623,4980349
MN,2001-08-01,3296151.536,,59089.749,805066.0,116031.142,,49354.016,4983553
MN,2001-09-01,2722326.17,,41502.898,1038436.0,112820.102,,55098.008,4986757
MN,2001-10-01,2811510.572,,56501.09,1201758.0,103299.975,,91170.579,4989960
MN,2001-11-01,2950745.205,,63873.466,767119.0,119531.407,,97097.155,4993164
MN,2001-12-01,3088471.583,,82972.014,1025041.0,128323.136,,92457.538,4996368
MO,2001-01-01,6223476.391,,31124.168,864162.0,6354.382,,,5637863
MO,2001-02-01,5326604.894,,116616.075,778452.0,1560.547,,,5641144
MO,2001-03-01,4938031.932,,176106.517,698802.0,3903.0,,,5644425
MO,2001-04-01,4852316.404,,91964.322,112310.0,1061.31,,,5647706
MO,2001-05-01,5183209.889,,52304.959,170080.0,6483.147,,,5650987
MO,2001-06-01,5705635.139,,193564.174,818314.0,6706.874,,,5654268
MO,2001-07-01,6847609.61,,185970.432,841436.0,6205.997,,,5657549
MO,2001-08-01,7111437.496,,99384.944,843774.0,6912.777,,,5660830
MO,2001-09-01,5709227.776,,22833.549,823728.0,5589.612,,,5664111
MO,2001-10-01,5569375.988,,59635.342,858914.0,6056.095,,,5667392
MO,2001-11-01,5585733.887,,30062.371,832611.0,6491.708,,,5670673
MO,2001-12-01,6089334.39,,44568.15,741657.0,5101.654,,,5673954
MS,2001-01-01,2502340.194,,,946566.0,114703.418,,,2857943
MS,2001-02-01,1824988.532,,,827395.0,90816.55900000001,,,2858965
MS,2001-03-01,2620261.167,,,943421.0,79036.699,,,2859987
MS,2001-04-01,3100637.828,,,373230.0,85490.007,,,2861009
MS,2001-05-01,3113066.571,,,769005.0,88630.21,,,2862031
MS,2001-06-01,3501941.834,,,886934.0,140251.623,,,2863053
MS,2001-07-01,4752036.241,,,921701.0,150044.525,,,2864075
MS,2001-08-01,4938460.124,,,577561.0,138398.295,,,2865097
MS,2001-09-01,3958957.132,,,892961.0,124630.035,,,2866119
MS,2001-10-01,4345166.617,,,939180.0,155512.966,,,2867141
MS,2001-11-01,3324521.928,,,909769.0,132122.246,,,2868163
MS,2001-12-01,4107927.537,,,936159.0,132627.27,,,2869185
MT,2001-01-01,1626940.0,,668674.416,,5112.0,,,911643
MT,2001-02-01,1500890.0,,598327.767,,5776.0,,,912370
MT,2001-03-01,1447233.0,,467801.185,,5777.0,,,913097
MT,2001-04-01,1084129.0,,456176.308,,5835.0,,,913824
MT,2001-05-01,1190777.0,,689959.013,,6143.0,,,914551
MT,2001-06-01,1081768.0,,668240.054,,5947.0,,,915278
MT,2001-07-01,1570862.0,,570705.437,,6369.0,,,916004
MT,2001-08-01,1668407.0,,506085.574,,5924.0,,,916731
MT,2001-09-01,1530208.0,,464277.712,,5149.0,,,917458
MT,2001-10-01,1706434.0,,467304.738,,3644.0,,,918185
MT,2001-11-01,1573985.0,,467239.866,,4668.0,,,918912
MT,2001-12-01,1571299.0,,588679.928,,5081.0,,,919639
NC,2001-01-01,6762297.719,,146363.388,3417845.0,185289.899,,,8210314
NC,2001-02-01,5396946.704,,163039.049,3144188.0,157848.137,,,8222699
NC,2001-03-01,6489509.865,,249917.256,2406373.0,157499.104,,,8235084
NC,2001-04-01,5694263.721,,229251.843,2964862.0,186678.797,,,8247468
NC,2001-05-01,5644597.769,,167511.034,3567992.0,155058.024,,,8259853
NC,2001-06-01,6702440.467,,213431.781,3419745.0,133111.248,,,8272238
NC,2001-07-01,7283186.872,,199869.339,3448542.0,170372.183,,,8284623
NC,2001-08-01,8329414.357,,320920.123,3512007.0,175465.286,,,8297008
NC,2001-09-01,6063094.022,,257051.721,3188662.0,152597.526,,,8309392
NC,2001-10-01,5748186.017,,224345.865,2938467.0,166947.356,,,8321777
NC,2001-11-01,5209808.601,,170401.023,2847400.0,162327.128,,,8334162
NC,2001-12-01,5825112.27,,253605.187,2918942.0,173067.095,,,8346547
ND,2001-01-01,2593476.0,,156620.0,,643.0,,,645492
ND,2001-02-01,2383967.0,,129011.0,,650.0,,,645745
ND,2001-03-01,2579097.0,,110694.0,,618.0,,,645998
ND,2001-04-01,2212805.0,,100944.0,,581.0,,,646252
ND,2001-05-01,2223008.0,,104368.0,,663.0,,,646505
ND,2001-06-01,2126060.0,,116369.0,,637.0,,,646758
ND,2001-07-01,2567154.0,,120356.0,,502.0,,,647011
ND,2001-08-01,2698021.0,,121643.0,,559.0,,,647265
ND,2001-09-01,2218681.0,,93525.0,,746.0,,,647518
ND,2001-10-01,2249931.0,,84442.0,,683.0,,,647771
ND,2001-11-01,2395472.0,,84782.0,,750.0,,,648024
ND,2001-12-01,2744659.0,,109322.0,,633.0,,,648278
NE,2001-01-01,1879690.276,,43711.997,935874.0,1574.0,,228.0,1723729
NE,2001-02-01,1528756.841,,37679.374,822821.0,1548.0,,171.0,1724688
NE,2001-03-01,1854325.028,,32261.428,319876.0,1411.0,,171.0,1725647
NE,2001-04-01,1462930.987,,38185.407,551481.0,1513.0,,323.0,1726606
NE,2001-05-01,1497957.14,,45431.743,905925.0,1810.0,,294.0,1727565
NE,2001-06-01,1723269.196,,45543.419,847421.0,1268.0,,203.0,1728524
NE,2001-07-01,1965399.809,,53215.582,902502.0,1278.0,,118.0,1729483
NE,2001-08-01,1953413.368,,51666.946,893192.0,1167.0,,105.0,1730442
NE,2001-09-01,1717630.345,,44698.599,878107.0,1355.0,,144.0,1731401
NE,2001-10-01,1597856.89,,40368.244,920192.0,1317.0,,304.0,1732360
NE,2001-11-01,1644668.636,,37046.643,385205.0,1240.0,,281.0,1733319
NE,2001-12-01,1789729.41,,36334.615,363517.0,1240.0,,288.0,1734278
NH,2001-01-01,396994.463,,117022.455,41921.0,96429.469,,,1244526
NH,2001-02-01,337799.4,,77909.3,777519.0,86954.799,,,1245199
NH,2001-03-01,331320.702,,80330.287,448121.0,98704.448,,,1245871
NH,2001-04-01,329244.849,,173036.695,832051.0,86388.183,,,1246543
NH,2001-05-01,199155.031,,133161.038,839779.0,91301.372,,,1247216
NH,2001-06-01,350152.695,,100662.33,834215.0,92157.315,,,1247888
NH,2001-07-01,381057.145,,69711.175,861957.0,94787.678,,,1248560
NH,2001-08-01,430363.313,,41921.373,835010.0,89798.122,,,1249233
NH,2001-09-01,391843.508,,37229.626,834916.0,86573.2,,,1249905
NH,2001-10-01,444998.258,,38640.873,723475.0,84934.542,,,1250578
NH,2001-11-01,382785.09,,53278.162,801877.0,86915.421,,,1251250
NH,2001-12-01,330888.124,,67678.012,861902.0,89757.532,,,1251922
NJ,2001-01-01,2366821.673,,1591.151,2849594.0,100771.951,,,8455250
